title,details_url,ref_no,price_text,location,date,area,floor,num_photos,total_offers,offer_type,price_per_m2,search_url,scraped_at
"Дава под наем 3-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53230786/dawa-pod-naem-3-staen-gr-sofiia-lozenets,53230786,650€,"гр. София, Лозенец",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.686855
"Дава под наем 4-СТАЕН, гр. София, Белите брези",https://bazar.bg/obiava-51835269/dawa-pod-naem-4-staen-gr-sofiia-belite-brezi,51835269,760€,"гр. София, Белите брези",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.687115
"Дава под наем 2-СТАЕН, гр. София, Хиподрума",https://bazar.bg/obiava-53230635/dawa-pod-naem-2-staen-gr-sofiia-hipodruma,53230635,560€,"гр. София, Хиподрума",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.687361
"Дава под наем 2-СТАЕН, гр. София, Хиподрума",https://bazar.bg/obiava-53230393/dawa-pod-naem-2-staen-gr-sofiia-hipodruma,53230393,599€,"гр. София, Хиподрума",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.687604
"Дава под наем 3-СТАЕН, гр. София, Яворов",https://bazar.bg/obiava-53230348/dawa-pod-naem-3-staen-gr-sofiia-iaworow,53230348,1 500€,"гр. София, Яворов",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.687845
"Дава под наем 2-СТАЕН, гр. София, Белите брези",https://bazar.bg/obiava-53230315/dawa-pod-naem-2-staen-gr-sofiia-belite-brezi,53230315,560€,"гр. София, Белите брези",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.688103
"Дава под наем 2-СТАЕН, гр. София, Изгрев",https://bazar.bg/obiava-53203675/dawa-pod-naem-2-staen-gr-sofiia-izgrew,53203675,450€,"гр. София, Изгрев",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.688350
"Дава под наем 3-СТАЕН, гр. София, Стрелбище",https://bazar.bg/obiava-53230163/dawa-pod-naem-3-staen-gr-sofiia-strelbishte,53230163,750€,"гр. София, Стрелбище",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.688594
"Дава под наем 2-СТАЕН, гр. София, Изгрев",https://bazar.bg/obiava-53239865/dawa-pod-naem-2-staen-gr-sofiia-izgrew,53239865,700€,"гр. София, Изгрев",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.688835
"Дава под наем 4-СТАЕН, гр. София, Оборище",https://bazar.bg/obiava-52822965/dawa-pod-naem-4-staen-gr-sofiia-oborishte,52822965,1 250€,"гр. София, Оборище",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.689095
"Дава под наем 2-СТАЕН, гр. София, Иван Вазов",https://bazar.bg/obiava-51656740/dawa-pod-naem-2-staen-gr-sofiia-iwan-wazow,51656740,850€,"гр. София, Иван Вазов",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.689337
"Дава под наем 2-СТАЕН, гр. София, Яворов",https://bazar.bg/obiava-50270225/dawa-pod-naem-2-staen-gr-sofiia-iaworow,50270225,600€,"гр. София, Яворов",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.689576
"Дава под наем 4-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-51915588/dawa-pod-naem-4-staen-gr-sofiia-lozenets,51915588,1 850€,"гр. София, Лозенец",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.689817
"Дава под наем 2-СТАЕН, гр. София, Иван Вазов",https://bazar.bg/obiava-53017219/dawa-pod-naem-2-staen-gr-sofiia-iwan-wazow,53017219,800€,"гр. София, Иван Вазов",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.690077
"Дава под наем 2-СТАЕН, гр. София, Иван Вазов",https://bazar.bg/obiava-53163155/dawa-pod-naem-2-staen-gr-sofiia-iwan-wazow,53163155,650€,"гр. София, Иван Вазов",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.690328
"Дава под наем 4-СТАЕН, гр. София, Оборище",https://bazar.bg/obiava-51024062/dawa-pod-naem-4-staen-gr-sofiia-oborishte,51024062,800€,"гр. София, Оборище",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.690573
"Дава под наем 3-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53018636/dawa-pod-naem-3-staen-gr-sofiia-lozenets,53018636,1 200€,"гр. София, Лозенец",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.690824
"Дава под наем 2-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-52983450/dawa-pod-naem-2-staen-gr-sofiia-lozenets,52983450,570€,"гр. София, Лозенец",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.691087
"Дава под наем 2-СТАЕН, гр. София, Хладилника",https://bazar.bg/obiava-53222344/dawa-pod-naem-2-staen-gr-sofiia-hladilnika,53222344,600€,"гр. София, Хладилника",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.691334
"Дава под наем 2-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53105374/dawa-pod-naem-2-staen-gr-sofiia-lozenets,53105374,600€,"гр. София, Лозенец",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.691575
"Дава под наем 3-СТАЕН, гр. София, Яворов",https://bazar.bg/obiava-53229527/dawa-pod-naem-3-staen-gr-sofiia-iaworow,53229527,900€,"гр. София, Яворов",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.691818
"Дава под наем 3-СТАЕН, гр. София, Белите брези",https://bazar.bg/obiava-52811914/dawa-pod-naem-3-staen-gr-sofiia-belite-brezi,52811914,620€,"гр. София, Белите брези",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.692073
"Дава под наем 2-СТАЕН, гр. София, Лозенец",https://bazar.bg/obiava-53239835/dawa-pod-naem-2-staen-gr-sofiia-lozenets,53239835,700€,"гр. София, Лозенец",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.692314
"Дава под наем 2-СТАЕН, гр. София, Подуяне",https://bazar.bg/obiava-52231902/dawa-pod-naem-2-staen-gr-sofiia-poduiane,52231902,560€,"гр. София, Подуяне",26 януари,,,1,1910,наем,,https://bazar.bg/obiavi/naemi-apartamenti/sofia?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=346&district_id[]=366&district_id[]=880&district_id[]=377&district_id[]=378&district_id[]=379&district_id[]=389&district_id[]=393&district_id[]=408&district_id[]=426&district_id[]=432&district_id[]=435&district_id[]=445&district_id[]=456&district_id[]=457&district_id[]=463&district_id[]=835&district_id[]=836,2026-01-31T06:07:58.692552
