site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:53.001940,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/tristaen/6169095/?sid=gRy1fA&page=1,,128 000€250 346BGN,"Пловдив, Въстанически","продаваТристаен апартамент,176 м2","Оферта 1-5909, Акт 14. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Предлагаме Ви просторен мансарден...",176 м2,Етаж: 6 от 6,,продава,13,6169095,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:53.001940,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6145141/?sid=gRy1fA&page=1,,129 000€252 302BGN,"Пловдив, Въстанически","продаваДвустаен апартамент,79 м2","Оферта 1-6679,  Предлагаме Ви обзаведен апартамент в малка кооперация на тиха улица, в близост до всичко необходимо за градски начин на живот. Бърз достъп до главни пътни артерии и всички точки на...",79 м2,Етаж: 2 от 6,,продава,17,6145141,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:53.001940,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6166472/?sid=gRy1fA&page=1,,129 500€253 280BGN,"Пловдив, Въстанически","продаваДвустаен апартамент,70 м2","Оферта 1-6714, С акт 16. Предлагаме Ви комфортен апартамент в нова луксозна сграда. На тиха улица  с бърз достъп до главни пътни артерии. На близко разстояние от търговска зона в квартала, училище...",70 м2,Етаж: 4 от 7,,продава,13,6166472,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:53.001940,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/tristaen/6166461/?sid=gRy1fA&page=1,,141 000€275 772BGN,"Пловдив, Беломорски","продаваТристаен апартамент,122 м2","Оферта 1-6666, Акт 14. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни, 3-стайни и 4-стайни апартаменти. Ниско етажно строителство....",122 м2,Етаж: 3 от 5,,продава,15,6166461,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6044963/?sid=gRy1fA&page=1,,68 400€133 779BGN,"Пловдив, Беломорски","продаваДвустаен апартамент,74 м2","Оферта 1-6363, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Ниско етажно строителство. Предлагаме Ви...",74 м2,Етаж: 4 от 4,,продава,1,6044963,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/ujen/dvustaen/6142984/?sid=gRy1fA&page=1,,68 900€134 757BGN,"Пловдив, Южен","продаваДвустаен апартамент,60 м2","Оферта 1-6644, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Ниско етажно строителство. Предлагаме Ви...",60 м2,Етаж: 3 от 4,,продава,1,6142984,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/5912866/?sid=gRy1fA&page=1,,70 300€137 495BGN,"Пловдив, Въстанически","продаваДвустаен апартамент,74 м2","Оферта 1-4320, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Високо етажно строителство. Предлагаме Ви...",74 м2,Етаж: 7 от 10,,продава,7,5912866,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kyrshijaka/dvustaen/6053638/?sid=gRy1fA&page=1,,76 228€149 089BGN,"Пловдив, Кършияка","продаваДвустаен апартамент,66 м2","Оферта 1-6494, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",66 м2,Етаж: 8 от 18,,продава,1,6053638,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kamenica-2/dvustaen/6152747/?sid=gRy1fA&page=1,,80 389€157 227BGN,"Пловдив, Каменица 2","продаваДвустаен апартамент,71 м2","Оферта 1-6090, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",71 м2,Етаж: 10 от 10,,продава,1,6152747,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/kamenica-2/dvustaen/6152749/?sid=gRy1fA&page=1,,80 479€157 403BGN,"Пловдив, Каменица 2","продаваДвустаен апартамент,71 м2","Оферта 1-6090, Промоционална цена. Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни,3-стайни и многостайни апартаменти. Предлагаме Ви...",71 м2,Етаж: 10 от 10,,продава,1,6152749,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6154641/?sid=gRy1fA&page=1,,82 000€160 378BGN,"Пловдив, Беломорски","продаваДвустаен апартамент,61 м2","ОФЕРТА 10528ДВУСТАЕН АПАРТАМЕНТ! С АКТ 14!Жилището, което ви предлагаме е изключително функционално и се състои от хол с кухня, спалня, входно антре, баня с тоалетна, склад и...",61 м2,Етаж: 3 от 5,,продава,8,6154641,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/smirnenski/tristaen/6206812/?sid=gRy1fA&page=1,,83 500€163 312BGN,"Пловдив, Христо Смирненски","продаваТристаен апартамент,73 м2","оферта 1-6434. Без комисионно възнаграждение от купувача. Цени на инвеститор. Нисък процент общи части. Ограничен избор на етаж, изложение и големина на 2-стайни, 3-стайни и многостайни...",73 м2,Етаж: 1 от 5,,продава,1,6206812,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/belomorski/dvustaen/6164007/?sid=gRy1fA&page=1,,85 000€166 246BGN,"Пловдив, Беломорски","продаваДвустаен апартамент,71 м2","Оферта 1-6666, Акт 14. Без комисионно възнаграждение от купувача. Цени на инвеститор. Ограничен избор на етаж, изложение и големина на 2-стайни, 3-стайни и 4-стайни апартаменти. Ниско етажно...",71 м2,Етаж: 3 от 5,,продава,8,6164007,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6101169/?sid=gRy1fA&page=1,,85 800€167 810BGN,"Пловдив, Въстанически","продаваДвустаен апартамент,66 м2","Оферта 1-4800, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Предлагаме Ви компактен апартамент в...",66 м2,Етаж: 2 от 6,,продава,4,6101169,999,
imotinet,https://www.imoti.net/bg/obiavi/r/prodava/plovdiv/?sid=gRy1fA,2026-02-08 18:08:57.029714,https://www.imoti.net/bg/obiava/prodava--v-stroej/plovdiv/vystanicheski/dvustaen/6102845/?sid=gRy1fA&page=1,,86 300€168 788BGN,"Пловдив, Въстанически","продаваДвустаен апартамент,65 м2","Оферта 1-4800, Без комисионно възнаграждение от купувача. Цени на инвеститор. Избор на етаж, изложение и големина на 2-стайни и 3-стайни апартаменти. Предлагаме Ви топъл южен апартамент в...",65 м2,Етаж: 4 от 6,,продава,4,6102845,999,
